Region,Province,Labor Productivity (VND/person),Female Population (people),Industrial Production Index (%),Self-built Housing Floor Area (m²),Completed Housing Floor Area (m²),Enterprise Revenue (VND),Fixed Assets Value (VND),Non-agricultural Individual Labor (people),Pre-tax Profit (VND),Non-agricultural Individual Establishments,Operating Enterprises,Enterprises by Labor Size,Enterprises by Capital Size,Enterprises per 1000 People,Active Enterprises,Newly Registered Enterprises,Active Cooperatives,Female Labor in Enterprises (people),Cooperative Labor (people),Average Monthly Income (VND),Fixed Assets per Worker (VND),Total Enterprise Labor (people),Total Labor Income (VND),Profit Margin (%),Average Annual Capital (VND),Registered Deaths (people),Divorce Cases,Average First Marriage Age (years),Sex Ratio (%)
Bắc Trung Bộ,Hà Tĩnh,187.5,662.16,83.6,2016.0,2023.0,190353.0,280051.0,118693.0,-7644.0,74777.0,4295.0,4295.0,4295.0,4.2,5556.0,895.0,672.0,27306.0,6419.0,7443.0,3128.4,73687.0,6579.0,-4.02,412354.0,11584.0,143.0,26.87,98.93
Bắc Trung Bộ,Nghệ An,110.6,1708.16,110.1,6101.0,6180.0,314935.0,152404.0,254864.0,6953.0,155685.0,11013.0,11013.0,11013.0,3.8,13154.0,2143.0,579.0,112778.0,4695.0,7868.0,423.1,222257.0,20196.0,2.21,456474.0,24270.0,1091.0,27.33,100.42
Bắc Trung Bộ,Quảng Bình,118.9,453.6,114.1,1321.0,1323.0,84128.0,50926.0,120930.0,-528.0,71981.0,4039.0,4039.0,4039.0,5.5,5029.0,706.0,258.0,15957.0,2240.0,7065.0,774.9,44583.0,3742.0,-0.63,122351.0,6892.0,360.0,27.11,101.47
Bắc Trung Bộ,Quảng Trị,129.7,326.92,118.3,729.0,731.0,52804.0,53618.0,73566.0,723.0,48827.0,2749.0,2749.0,2749.0,5.0,3273.0,492.0,297.0,12301.0,1857.0,6897.0,1436.4,29758.0,2389.0,1.37,94798.0,5371.0,156.0,25.61,99.42
Bắc Trung Bộ,Thanh Hóa,132.18,746.57,106.62,2214.8,2234.6,520859.0,357400.0,292911.0,-12330.0,181109.0,13185.0,13185.0,13185.0,4.2,15494.0,3852.0,746.0,217673.0,7829.0,7638.0,744.4,362082.0,33116.0,-2.37,642678.0,32852.0,1124.0,26.13,99.71
Bắc Trung Bộ,Thừa Thiên - Huế,114.2,582.0,107.0,907.0,916.0,114708.0,53432.0,111985.0,2119.0,77116.0,4485.0,4485.0,4485.0,4.4,5136.0,835.0,235.0,48373.0,2400.0,7544.0,373.5,98198.0,8860.0,1.85,119389.0,15662.0,251.0,27.97,99.35
Trung du miền núi Bắc Bộ,Bắc Giang,162.2,937.97,132.9,2506.0,2558.0,689923.0,179546.0,135942.0,26617.0,78604.0,6437.0,6437.0,6437.0,4.2,7901.0,1706.0,445.0,199132.0,3638.0,10676.0,346.0,343771.0,43121.0,3.86,566789.0,11425.0,664.0,25.7,101.6
Trung du miền núi Bắc Bộ,Bắc Kạn,103.2,159.32,108.8,269.0,273.0,8442.0,3708.0,20970.0,-81.0,13682.0,569.0,569.0,569.0,2.2,708.0,116.0,158.0,2266.0,1014.0,7496.0,420.2,7208.0,627.0,-0.96,12135.0,2431.0,48.0,24.91,104.92
Trung du miền núi Bắc Bộ,Cao Bằng,104.2,270.22,111.7,556.0,556.0,19115.0,10514.0,30890.0,80.0,19998.0,996.0,996.0,996.0,2.3,1222.0,174.0,188.0,4861.0,1248.0,7621.0,522.3,14963.0,1273.0,0.42,26418.0,5669.0,102.0,23.35,100.97
Trung du miền núi Bắc Bộ,Hà Giang,83.4,439.55,118.8,857.0,859.0,20760.0,27259.0,42956.0,1210.0,26306.0,952.0,952.0,952.0,1.4,1273.0,183.0,381.0,5457.0,3529.0,7493.0,975.5,22860.0,1859.0,5.83,43724.0,6337.0,118.0,22.25,103.1
Trung du miền núi Bắc Bộ,Hòa Bình,131.73,476.44,114.52,1071.54,1099.38,75875.0,37251.0,59111.0,648.0,36862.0,2091.0,2091.0,2091.0,3.3,2892.0,490.0,181.0,30211.0,1072.0,7584.0,355.6,57937.0,5362.0,0.85,110396.0,6353.0,135.0,25.34,101.38
Trung du miền núi Bắc Bộ,Lai Châu,117.1,237.84,121.1,382.0,382.0,14843.0,34990.0,18905.0,294.0,11241.0,888.0,888.0,888.0,2.5,1212.0,194.0,136.0,3092.0,763.0,7178.0,2223.6,9948.0,842.0,1.98,47643.0,2410.0,61.0,21.9,102.7
Trung du miền núi Bắc Bộ,Lào Cai,169.5,377.59,104.6,561.0,612.0,94352.0,54769.0,45802.0,12301.0,27255.0,2539.0,2539.0,2539.0,4.2,3230.0,655.0,136.0,12300.0,708.0,10695.0,1094.1,40567.0,5014.0,13.04,122810.0,4377.0,160.0,23.61,104.08
Trung du miền núi Bắc Bộ,Lạng Sơn,136.5,391.76,107.1,928.0,1100.0,54590.0,13583.0,46620.0,-352.0,30439.0,1936.0,1936.0,1936.0,2.9,2347.0,463.0,141.0,7547.0,942.0,7567.0,388.8,19954.0,1767.0,-0.65,59144.0,6850.0,197.0,25.75,104.74
Trung du miền núi Bắc Bộ,Phú Thọ,128.0,760.83,111.4,2406.0,2434.0,206709.0,91232.0,107929.0,-821.0,64505.0,5114.0,5114.0,5114.0,4.0,6103.0,1008.0,317.0,95682.0,3039.0,8655.0,320.1,168724.0,17371.0,-0.4,187284.0,9732.0,320.0,25.78,99.38
Trung du miền núi Bắc Bộ,Sơn La,110.0,640.34,121.2,1411.0,1429.0,43921.0,36910.0,50242.0,1896.0,31296.0,1752.0,1752.0,1752.0,1.6,2132.0,257.0,267.0,7459.0,1919.0,6830.0,1400.3,19593.0,1577.0,4.32,75848.0,7215.0,212.0,22.09,103.04
Trung du miền núi Bắc Bộ,Thái Nguyên,243.9,683.72,110.8,1331.0,1333.0,1007483.0,175772.0,104206.0,57095.0,69200.0,4582.0,4582.0,4582.0,4.1,5437.0,955.0,262.0,110183.0,2104.0,11066.0,589.3,191450.0,25445.0,5.67,610379.0,8266.0,230.0,25.24,95.4
Trung du miền núi Bắc Bộ,Tuyên Quang,110.7,398.16,109.2,993.0,1010.0,39181.0,15951.0,51376.0,52.0,32404.0,1394.0,1394.0,1394.0,2.2,1755.0,297.0,276.0,19555.0,1761.0,6957.0,329.4,39297.0,3214.0,0.13,37351.0,5577.0,258.0,25.13,102.38
Trung du miền núi Bắc Bộ,Yên Bái,112.1,419.93,109.0,1047.0,1049.0,58460.0,32123.0,52806.0,953.0,32306.0,1546.0,1546.0,1546.0,2.4,2020.0,321.0,202.0,15501.0,1989.0,7922.0,536.4,39086.0,3567.0,1.63,59201.0,5460.0,292.0,23.7,102.57
Trung du miền núi Bắc Bộ,Điện Biên,131.73,476.44,122.1,683.0,697.0,17884.0,53071.0,28710.0,260.0,17555.0,946.0,946.0,946.0,1.7,1109.0,113.0,93.0,7601.0,930.0,5546.0,1531.8,26757.0,1827.0,1.45,75104.0,4032.0,157.0,22.81,103.14
Tây Nguyên,Gia Lai,91.6,793.14,112.8,1149.0,1164.0,117148.0,126715.0,90003.0,16.0,59248.0,4083.0,4083.0,4083.0,3.3,5238.0,897.0,162.0,19593.0,1236.0,7848.0,1147.6,50843.0,4753.0,0.01,228178.0,10910.0,354.0,24.43,100.59
Tây Nguyên,Kon Tum,95.9,288.49,122.4,794.0,798.0,45437.0,33721.0,40053.0,912.0,26923.0,1608.0,1608.0,1608.0,3.5,2051.0,336.0,93.0,8909.0,801.0,7750.0,939.5,26409.0,2421.0,2.01,60913.0,3617.0,73.0,25.06,101.02
Tây Nguyên,Lâm Đồng,93.75,540.82,109.5,1656.0,1693.0,136363.0,66345.0,124747.0,4574.0,72973.0,5925.0,5925.0,5925.0,5.8,7686.0,1523.0,226.0,29550.0,1828.0,9072.0,591.2,70399.0,7270.0,3.35,151897.0,8267.0,572.0,26.69,101.65
Tây Nguyên,Đắk Lắk,93.75,540.82,117.4,1833.0,1867.0,162911.0,78705.0,127461.0,1985.0,82455.0,6439.0,6439.0,6439.0,3.8,7373.0,1249.0,253.0,24326.0,1502.0,7539.0,952.2,64058.0,5560.0,1.22,152532.0,11719.0,634.0,25.53,102.18
Tây Nguyên,Đắk Nông,93.75,540.82,103.8,745.0,752.0,64939.0,19916.0,42628.0,1303.0,27327.0,1995.0,1995.0,1995.0,3.8,2566.0,465.0,89.0,7392.0,548.0,10472.0,953.8,18399.0,2210.0,2.01,50505.0,3055.0,195.0,25.99,104.76
Đông Nam Bộ,Bà Rịa - Vũng Tàu,675.5,590.87,105.7,546.0,587.0,720349.0,535789.0,103370.0,30075.0,56614.0,10621.0,10621.0,10621.0,10.1,11934.0,1933.0,62.0,88460.0,339.0,13400.0,1333.3,216964.0,33812.0,4.18,1021228.0,7974.0,596.0,28.81,99.49
Đông Nam Bộ,Bình Dương,259.4,1367.59,108.5,701.0,1087.0,1940293.0,674803.0,224490.0,58711.0,135884.0,34056.0,34056.0,34056.0,14.7,40736.0,6494.0,120.0,510481.0,1470.0,12006.0,326.9,1070967.0,151419.0,3.03,1827800.0,7144.0,243.0,27.27,102.04
Đông Nam Bộ,Bình Phước,152.7,512.9,120.7,1084.0,1111.0,326451.0,116870.0,99959.0,2776.0,53811.0,4907.0,4907.0,4907.0,6.4,6615.0,1172.0,60.0,67561.0,505.0,9697.0,561.7,131860.0,14909.0,0.85,281907.0,5787.0,444.0,26.43,101.73
Đông Nam Bộ,TP. Hồ Chí Minh,332.1,4813.35,112.6,545.0,1035.0,8121198.0,3403207.0,837513.0,301545.0,427551.0,219090.0,219090.0,219090.0,29.2,274067.0,45425.0,437.0,1291628.0,14613.0,13968.0,293.1,2872436.0,465110.0,3.71,10663667.0,40707.0,1656.0,29.75,94.36
Đông Nam Bộ,Tây Ninh,156.1,592.57,115.5,1516.0,1599.0,362718.0,189291.0,128816.0,20566.0,77132.0,4243.0,4243.0,4243.0,4.1,4930.0,816.0,111.0,105331.0,1151.0,10611.0,589.4,200363.0,25247.0,5.67,379103.0,10539.0,661.0,27.78,100.61
Đông Nam Bộ,Đồng Nai,315.16,1575.46,108.1,1432.0,1875.0,1567296.0,611052.0,287939.0,68968.0,158981.0,23398.0,23398.0,23398.0,7.9,25847.0,4203.0,314.0,436056.0,3759.0,10471.0,366.4,846620.0,105983.0,4.4,1435387.0,16700.0,1093.0,28.45,99.3
Đồng bằng Duyên Hải miền Trung,Bình Thuận,148.0,620.87,100.6,1074.0,1124.0,161299.0,147133.0,115066.0,8576.0,65520.0,4454.0,4454.0,4454.0,4.6,5810.0,886.0,117.0,33931.0,997.0,7951.0,1194.7,71579.0,6707.0,5.32,266140.0,11780.0,409.0,27.99,101.66
Đồng bằng Duyên Hải miền Trung,Bình Định,146.64,549.07,107.0,1593.0,1635.0,192565.0,101036.0,169390.0,-14243.0,100849.0,6812.0,6812.0,6812.0,5.1,7745.0,1238.0,203.0,62936.0,2026.0,7643.0,407.2,145153.0,13172.0,-7.4,221050.0,18044.0,214.0,27.0,98.87
Đồng bằng Duyên Hải miền Trung,Khánh Hòa,146.64,549.07,109.29,951.57,978.14,203695.0,260334.0,93888.0,5590.0,57249.0,9365.0,9365.0,9365.0,8.9,11198.0,1982.0,96.0,57808.0,2869.0,9947.0,769.8,144640.0,16579.0,2.74,464592.0,10293.0,210.0,28.57,99.46
Đồng bằng Duyên Hải miền Trung,Ninh Thuận,141.6,295.25,109.3,495.0,506.0,43618.0,97976.0,59588.0,1576.0,40051.0,2476.0,2476.0,2476.0,5.0,2981.0,510.0,70.0,12232.0,378.0,8202.0,2722.7,31015.0,2915.0,3.61,133466.0,5064.0,324.0,26.63,102.77
Đồng bằng Duyên Hải miền Trung,Phú Yên,109.8,434.75,113.2,823.0,831.0,58115.0,32434.0,97296.0,825.0,62039.0,2608.0,2608.0,2608.0,3.8,3304.0,561.0,122.0,20262.0,923.0,6844.0,547.2,43894.0,3519.0,1.42,65315.0,6837.0,507.0,26.18,101.64
Đồng bằng Duyên Hải miền Trung,Quảng Nam,147.9,768.91,119.0,608.0,620.0,302810.0,168716.0,146639.0,19044.0,94428.0,7171.0,7171.0,7171.0,5.4,8257.0,1245.0,373.0,92752.0,2815.0,8562.0,518.5,177965.0,17842.0,6.29,350902.0,15194.0,304.0,26.89,97.6
Đồng bằng Duyên Hải miền Trung,Quảng Ngãi,185.9,625.55,109.1,1344.0,1356.0,377436.0,155100.0,125700.0,25627.0,83448.0,4763.0,4763.0,4763.0,4.4,5543.0,735.0,228.0,36870.0,1477.0,9222.0,1256.2,99091.0,11000.0,6.79,321910.0,14133.0,240.0,26.25,99.13
Đồng bằng Duyên Hải miền Trung,Đà Nẵng,146.64,549.07,106.8,724.0,775.0,386682.0,241097.0,128740.0,5349.0,86299.0,20763.0,20763.0,20763.0,20.8,25419.0,4000.0,64.0,119025.0,791.0,10245.0,413.4,287113.0,33787.0,1.38,558073.0,7785.0,169.0,27.63,98.18
Đồng bằng sông Cửu Long,An Giang,110.7,959.37,111.1,899.0,998.0,196282.0,40162.0,231301.0,4358.0,121759.0,4500.0,4500.0,4500.0,2.7,5058.0,879.0,194.0,37866.0,2375.0,7692.0,314.1,80820.0,7200.0,2.22,133870.0,26213.0,840.0,26.79,101.66
Đồng bằng sông Cửu Long,Bạc Liêu,117.2,459.67,114.7,1250.0,1296.0,53449.0,29197.0,87542.0,1610.0,46366.0,2135.0,2135.0,2135.0,2.4,2182.0,329.0,199.0,12495.0,3649.0,6465.0,827.3,30108.0,2337.0,3.01,61659.0,7394.0,540.0,28.2,100.54
Đồng bằng sông Cửu Long,Bến Tre,82.3,657.54,115.9,1130.0,1194.0,93028.0,39603.0,145272.0,3059.0,78232.0,3248.0,3248.0,3248.0,2.8,3572.0,566.0,122.0,43260.0,1153.0,8252.0,281.1,80948.0,7933.0,3.29,90095.0,13041.0,694.0,26.52,97.4
Đồng bằng sông Cửu Long,Cà Mau,122.6,590.46,105.5,1671.0,1713.0,139758.0,40437.0,119749.0,7741.0,65801.0,3662.0,3662.0,3662.0,3.2,3842.0,658.0,160.0,19432.0,1698.0,8969.0,496.0,51007.0,5253.0,5.54,114699.0,9714.0,1415.0,26.73,104.52
Đồng bằng sông Cửu Long,Cần Thơ,185.7,630.7,129.2,784.0,944.0,340332.0,79578.0,158526.0,7599.0,86696.0,9660.0,9660.0,9660.0,8.0,10060.0,1807.0,139.0,52728.0,1265.0,7773.0,373.2,124445.0,11303.0,2.23,254829.0,11605.0,745.0,29.32,98.56
Đồng bằng sông Cửu Long,Hậu Giang,119.2,360.23,116.9,894.0,977.0,99588.0,30948.0,94006.0,3822.0,46190.0,2157.0,2157.0,2157.0,3.5,2532.0,562.0,181.0,27644.0,1649.0,7706.0,446.8,48888.0,4437.0,3.84,85512.0,7264.0,423.0,27.96,102.5
Đồng bằng sông Cửu Long,Kiên Giang,128.2,855.42,117.9,1655.0,3092.0,168683.0,155026.0,174294.0,10205.0,90639.0,7619.0,7619.0,7619.0,4.9,8637.0,1892.0,443.0,32963.0,2693.0,8069.0,753.5,94498.0,9062.0,6.05,392724.0,15850.0,589.0,27.78,104.78
Đồng bằng sông Cửu Long,Long An,159.5,868.34,109.0,1666.0,1713.0,627570.0,290030.0,131492.0,15172.0,70873.0,9582.0,9582.0,9582.0,6.6,11493.0,1763.0,138.0,167085.0,1128.0,9963.0,411.0,334094.0,39236.0,2.42,732317.0,13728.0,708.0,26.99,99.72
Đồng bằng sông Cửu Long,Sóc Trăng,108.7,591.43,105.1,1186.0,1288.0,116744.0,51547.0,109061.0,2811.0,56982.0,2724.0,2724.0,2724.0,2.4,2895.0,450.0,171.0,22562.0,1386.0,5999.0,355.6,47249.0,3332.0,2.41,182441.0,14239.0,582.0,27.71,102.53
Đồng bằng sông Cửu Long,Tiền Giang,107.0,906.36,113.7,1474.0,1550.0,222785.0,71696.0,202465.0,6353.0,87096.0,4848.0,4848.0,4848.0,3.1,5530.0,935.0,203.0,105672.0,1921.0,8869.0,220.8,178525.0,18407.0,2.85,168458.0,16667.0,1271.0,27.07,96.97
Đồng bằng sông Cửu Long,Trà Vinh,137.0,515.94,75.9,1270.0,1283.0,84047.0,96220.0,126361.0,5026.0,68154.0,2189.0,2189.0,2189.0,2.6,2627.0,519.0,133.0,28966.0,696.0,7237.0,1727.0,48373.0,4147.0,5.98,165117.0,9615.0,432.0,26.41,97.55
