Vùng,Tỉnh/thành phố,Năng suất lao động phân theo địa phương,Dân số trung bình_x,Số nam giới,Dân số trung bình_y,Số nữ giới,Chỉ số sản xuất công nghiệp phân theo địa phương ,Diện tích sàn xây dựng nhà tự xây tự ở hoàn thành trong năm của hộ dân cư phân theo địa phương,Diện tích sàn xây dựng nhà ở hoàn thành trong năm phân theo địa phương,Số doanh nghiệp đang hoạt động có kết quả sản xuất kinh doanh tại thời điểm 31_12 hàng năm phân theo địa phương,Số doanh nghiệp đang hoạt động tại thời điểm 31_12 hàng năm bình quân trên 1000 dân phân theo địa phương,Số doanh nghiệp đang hoạt động tại thời điểm 31_12 hàng năm phân theo địa phương,Số doanh nghiệp đăng ký thành lập mới phân theo địa phương,Hạn đăng ký,Số trường hợp tử vong được đăng ký khai tử phân theo địa phương,Cấp xét xử,Số vụ ly hôn đã xét xử phân theo địa phương và theo cấp xét xử,Tuổi kết hôn trung bình lần đầu phân theo địa phương,Tỷ số giới tính của dân số phân theo địa phương
Bắc Trung Bộ,Hà Tĩnh,187.5,Nam,655.1,Nữ,662.16,83.6,2016.0,2023.0,4295.0,4.2,5556.0,895.0,Tổng số,11584.0,Tổng số,143.0,26.87,98.93
Bắc Trung Bộ,Nghệ An,110.6,Nam,1711.83,Nữ,1708.16,110.1,6101.0,6180.0,11013.0,3.8,13154.0,2143.0,Tổng số,24270.0,Tổng số,1091.0,27.33,100.42
Bắc Trung Bộ,Quảng Bình,118.9,Nam,460.27,Nữ,453.6,114.1,1321.0,1323.0,4039.0,5.5,5029.0,706.0,Tổng số,6892.0,Tổng số,360.0,27.11,101.47
Bắc Trung Bộ,Quảng Trị,129.7,Nam,324.03,Nữ,326.92,118.3,729.0,731.0,2749.0,5.0,3273.0,492.0,Tổng số,5371.0,Tổng số,156.0,25.61,99.42
Bắc Trung Bộ,Thanh Hóa,132.18,,745.89,,746.568,106.62,2214.8,2234.6,13185.0,4.2,15494.0,3852.0,Tổng số,32852.0,Tổng số,1124.0,26.13,99.71
Bắc Trung Bộ,Thừa Thiên - Huế,114.2,Nam,578.22,Nữ,582.0,107.0,907.0,916.0,4485.0,4.4,5136.0,835.0,Tổng số,15662.0,Tổng số,251.0,27.97,99.35
Trung du miền núi Bắc Bộ,Bắc Giang,162.2,Nam,952.95,Nữ,937.97,132.9,2506.0,2558.0,6437.0,4.2,7901.0,1706.0,Tổng số,11425.0,Tổng số,664.0,25.7,101.6
Trung du miền núi Bắc Bộ,Bắc Kạn,103.2,Nam,165.03,Nữ,159.32,108.8,269.0,273.0,569.0,2.2,708.0,116.0,Tổng số,2431.0,Tổng số,48.0,24.91,104.92
Trung du miền núi Bắc Bộ,Cao Bằng,104.2,Nam,272.83,Nữ,270.22,111.7,556.0,556.0,996.0,2.3,1222.0,174.0,Tổng số,5669.0,Tổng số,102.0,23.35,100.97
Trung du miền núi Bắc Bộ,Hà Giang,83.4,Nam,453.17,Nữ,439.55,118.8,857.0,859.0,952.0,1.4,1273.0,183.0,Tổng số,6337.0,Tổng số,118.0,22.25,103.1
Trung du miền núi Bắc Bộ,Hòa Bình,131.73333333333332,,482.8875,,476.4358333333334,114.51538461538462,1071.5384615384614,1099.3846153846155,2091.0,3.3,2892.0,490.0,Tổng số,6353.0,Tổng số,135.0,25.34,101.38
Trung du miền núi Bắc Bộ,Lai Châu,117.1,Nam,244.26,Nữ,237.84,121.1,382.0,382.0,888.0,2.5,1212.0,194.0,Tổng số,2410.0,Tổng số,61.0,21.9,102.7
Trung du miền núi Bắc Bộ,Lào Cai,169.5,Nam,393.0,Nữ,377.59,104.6,561.0,612.0,2539.0,4.2,3230.0,655.0,Tổng số,4377.0,Tổng số,160.0,23.61,104.08
Trung du miền núi Bắc Bộ,Lạng Sơn,136.5,Nam,410.34,Nữ,391.76,107.1,928.0,1100.0,1936.0,2.9,2347.0,463.0,Tổng số,6850.0,Tổng số,197.0,25.75,104.74
Trung du miền núi Bắc Bộ,Phú Thọ,128.0,Nam,756.09,Nữ,760.83,111.4,2406.0,2434.0,5114.0,4.0,6103.0,1008.0,Tổng số,9732.0,Tổng số,320.0,25.78,99.38
Trung du miền núi Bắc Bộ,Sơn La,110.0,Nam,659.79,Nữ,640.34,121.2,1411.0,1429.0,1752.0,1.6,2132.0,257.0,Tổng số,7215.0,Tổng số,212.0,22.09,103.04
Trung du miền núi Bắc Bộ,Thái Nguyên,243.9,Nam,652.26,Nữ,683.72,110.8,1331.0,1333.0,4582.0,4.1,5437.0,955.0,Tổng số,8266.0,Tổng số,230.0,25.24,95.4
Trung du miền núi Bắc Bộ,Tuyên Quang,110.7,Nam,407.62,Nữ,398.16,109.2,993.0,1010.0,1394.0,2.2,1755.0,297.0,Tổng số,5577.0,Tổng số,258.0,25.13,102.38
Trung du miền núi Bắc Bộ,Yên Bái,112.1,Nam,427.31,Nữ,419.93,109.0,1047.0,1049.0,1546.0,2.4,2020.0,321.0,Tổng số,5460.0,Tổng số,292.0,23.7,102.57
Trung du miền núi Bắc Bộ,Điện Biên,131.73333333333332,,482.8875,,476.4358333333334,122.1,683.0,697.0,946.0,1.7,1109.0,113.0,Tổng số,4032.0,Tổng số,157.0,22.81,103.14
Tây Nguyên,Gia Lai,91.6,Nam,797.84,Nữ,793.14,112.8,1149.0,1164.0,4083.0,3.3,5238.0,897.0,Tổng số,10910.0,Tổng số,354.0,24.43,100.59
Tây Nguyên,Kon Tum,95.9,Nam,291.43,Nữ,288.49,122.4,794.0,798.0,1608.0,3.5,2051.0,336.0,Tổng số,3617.0,Tổng số,73.0,25.06,101.02
Tây Nguyên,Lâm Đồng,93.75,,544.635,,540.815,109.5,1656.0,1693.0,5925.0,5.8,7686.0,1523.0,Tổng số,8267.0,Tổng số,572.0,26.69,101.65
Tây Nguyên,Đắk Lắk,93.75,,544.635,,540.815,117.4,1833.0,1867.0,6439.0,3.8,7373.0,1249.0,Tổng số,11719.0,Tổng số,634.0,25.53,102.18
Tây Nguyên,Đắk Nông,93.75,,544.635,,540.815,103.8,745.0,752.0,1995.0,3.8,2566.0,465.0,Tổng số,3055.0,Tổng số,195.0,25.99,104.76
Đông Nam Bộ,Bà Rịa - Vũng Tàu,675.5,Nam,587.83,Nữ,590.87,105.7,546.0,587.0,10621.0,10.1,11934.0,1933.0,Tổng số,7974.0,Tổng số,596.0,28.81,99.49
Đông Nam Bộ,Bình Dương,259.4,Nam,1395.53,Nữ,1367.59,108.5,701.0,1087.0,34056.0,14.7,40736.0,6494.0,Tổng số,7144.0,Tổng số,243.0,27.27,102.04
Đông Nam Bộ,Bình Phước,152.7,Nam,521.76,Nữ,512.9,120.7,1084.0,1111.0,4907.0,6.4,6615.0,1172.0,Tổng số,5787.0,Tổng số,444.0,26.43,101.73
Đông Nam Bộ,TP. Hồ Chí Minh,332.1,Nam,4576.37,Nữ,4813.35,112.6,545.0,1035.0,219090.0,29.2,274067.0,45425.0,Tổng số,40707.0,Tổng số,1656.0,29.75,94.36
Đông Nam Bộ,Tây Ninh,156.1,Nam,596.18,Nữ,592.57,115.5,1516.0,1599.0,4243.0,4.1,4930.0,816.0,Tổng số,10539.0,Tổng số,661.0,27.78,100.61
Đông Nam Bộ,Đồng Nai,315.15999999999997,,1535.534,,1575.456,108.1,1432.0,1875.0,23398.0,7.9,25847.0,4203.0,Tổng số,16700.0,Tổng số,1093.0,28.45,99.3
Đồng bằng Duyên Hải miền Trung,Bình Thuận,148.0,Nam,631.19,Nữ,620.87,100.6,1074.0,1124.0,4454.0,4.6,5810.0,886.0,Tổng số,11780.0,Tổng số,409.0,27.99,101.66
Đồng bằng Duyên Hải miền Trung,Bình Định,146.64000000000001,,549.412,,549.066,107.0,1593.0,1635.0,6812.0,5.1,7745.0,1238.0,Tổng số,18044.0,Tổng số,214.0,27.0,98.87
Đồng bằng Duyên Hải miền Trung,Khánh Hòa,146.64000000000001,,549.412,,549.066,109.28571428571429,951.5714285714286,978.1428571428571,9365.0,8.9,11198.0,1982.0,Tổng số,10293.0,Tổng số,210.0,28.57,99.46
Đồng bằng Duyên Hải miền Trung,Ninh Thuận,141.6,Nam,303.43,Nữ,295.25,109.3,495.0,506.0,2476.0,5.0,2981.0,510.0,Tổng số,5064.0,Tổng số,324.0,26.63,102.77
Đồng bằng Duyên Hải miền Trung,Phú Yên,109.8,Nam,441.87,Nữ,434.75,113.2,823.0,831.0,2608.0,3.8,3304.0,561.0,Tổng số,6837.0,Tổng số,507.0,26.18,101.64
Đồng bằng Duyên Hải miền Trung,Quảng Nam,147.9,Nam,750.47,Nữ,768.91,119.0,608.0,620.0,7171.0,5.4,8257.0,1245.0,Tổng số,15194.0,Tổng số,304.0,26.89,97.6
Đồng bằng Duyên Hải miền Trung,Quảng Ngãi,185.9,Nam,620.1,Nữ,625.55,109.1,1344.0,1356.0,4763.0,4.4,5543.0,735.0,Tổng số,14133.0,Tổng số,240.0,26.25,99.13
Đồng bằng Duyên Hải miền Trung,Đà Nẵng,146.64000000000001,,549.412,,549.066,106.8,724.0,775.0,20763.0,20.8,25419.0,4000.0,Tổng số,7785.0,Tổng số,169.0,27.63,98.18
